dAE,RUR,SD_RUR,N_setting
23,0.0181317662903545,0.00630127675084084,1
28,0.0276556076453291,0.0105515289146874,1
33,0.00841800230058015,0.0100992753872331,1
38,0.00687544851901357,0.00717316846098354,1
43,-0.00056545159073936,0.00650831455635619,1
46,-0.00800858627536845,0.012556396238053,1
23,0.0205150311190903,0.0100024608645357,0
28,0.0243430627579235,0.00923715983682303,0
33,0.0088437744376278,0.00502481983490451,0
38,0.00842732089301384,0.00299022770723818,0
43,-0.00394419991181813,0.00343147624210584,0
46,-0.00444703107563556,0.0110574884597537,0
23,0.0187471981663335,0.00438367743413776,-1
28,0.0102331659874368,0.00327023903680328,-1
33,-0.000430316679317645,0.00226276440322215,-1
38,0.0011961954980423,0.00154117499852809,-1
43,-0.00181243125612659,0.00148384209330502,-1
46,-0.000779078697709384,0.00289651746895853,-1
