day,Y_N,std_Y_N,N_setting,date
23,1.44762392919099,0.503088274076452,1,2021-07-21
28,2.53232976845628,0.942902324675232,1,2021-07-26
33,1.04944130089259,1.06037092207949,1,2021-07-31
38,1.25061776162507,0.940710793603726,1,2021-08-05
43,0.358075669823274,1.1949426406024,1,2021-08-10
46,-2.01482998029637,2.46650695345612,1,2021-08-13
23,1.76812003299943,0.862077728822992,0,2021-07-21
28,2.34883136045934,0.861529463280002,0,2021-07-26
33,1.85251614868817,0.712073970500796,0,2021-07-31
38,1.69378554481583,0.51564872556543,0,2021-08-05
43,-0.229173938781335,0.824380726848686,0,2021-08-10
46,-2.14338812189912,2.73130331222491,0,2021-08-13
23,2.21927355390718,0.518935112976636,-1,2021-07-21
28,3.33028122005944,0.76701948129256,-1,2021-07-26
33,1.61339316753098,1.06755774578072,-1,2021-07-31
38,1.0579478641818,1.05108764991909,-1,2021-08-05
43,-0.226157597896778,1.34098388070045,-1,2021-08-10
46,-0.813757222360149,3.0628965299937,-1,2021-08-13
