dAE,c_NH3,c_NH3_SD,c_NO3,c_NO3_SD,c_N,c_N_SD,N_setting
2,11.8216475217359,0.134550442579413,0.790271595380943,0.0558690022440126,12.6119191171168,0.14568859601924,1
9,11.3555511162791,0.351186965359664,0.810431585059028,0.0275437895564791,12.1659827013381,0.352265446760907,1
17,11.7828061546145,0.187286289799166,0.689471646990517,0.0241919876137023,12.472277801605,0.188842279724215,1
23,11.1419235971113,0.293245891006169,0.669311657312431,0.0483839752274047,11.8112352544237,0.29721063515764,1
30,9.89899984922641,0.34138446294341,0.572543706857622,0.0208211478087834,10.471543556084,0.342018817808663,1
38,10.9282960779436,0.210066811148016,0.552383717179537,0.0154413764879095,11.4806797951231,0.210633571051097,1
44,11.4817855594236,0.28838243786206,0.576575704793239,0.0275437895564791,12.0583612642168,0.289694823582329,1
2,6.74533797693889,0.171370296478373,1.15315140958648,0.167865460249833,7.89848938652537,0.239888705986701,0
9,7.00743825914024,0.223554793941201,1.31846332494678,0.0622896922040323,8.32590158408702,0.232070574715895,0
17,6.92880817447983,0.0818407868863528,0.939455518998774,0.0896760817453297,7.8682636934786,0.12140722398347,0
23,6.37839758185701,0.216530369203125,0.806399587123411,0.0940415440107933,7.18479716898042,0.23607035558743,0
30,4.6616407334382,0.432465465632219,0.463679762595962,0.0516347674136576,5.12532049603416,0.435537057172354,0
38,3.18077413900061,0.230365125400838,0.391103799754855,0.0241919876137023,3.57187793875546,0.231631913314304,0
44,2.01442788320462,0.158889851907805,0.407231791497323,0.033248706741643,2.42165967470194,0.162331332586399,0
2,2.47400561554992,0.174855456629552,1.18943939100703,0.256489161085635,3.66344500655695,0.310420876339756,-1
9,1.94680510815818,0.0172290200863886,1.29830333526869,0.140291898917273,3.24510844342687,0.141345873781131,-1
17,1.46934049769019,0.112978240050456,1.09267144055222,0.135177203198505,2.56201193824241,0.17617309382953,-1
23,0.773037940757702,0.0750995574527996,0.6854396490549,0.103269534827315,1.4584775898126,0.127689233504851,-1
30,0.245837433365963,0.0750995574527993,0.294335849300045,0.0357614957520217,0.540173282666008,0.083179493314327,-1
38,0.166259998287964,0.130076249134187,0.278207857557577,0.0357614957520217,0.444467855845541,0.134902613641252,-1
44,0.444781021060959,0.0750995574527981,0.290303851364428,0.0372460014960083,0.735084872425387,0.0838284447967799,-1
