day,dc_N,dc_N_SD,dc_NH4,dc_NH4_SD,dc_NO3,dc_NO3_SD,N_setting
9,-0.0637052022541,0.0544576435278511,-0.0665852007795427,0.0537257028589737,0.00287999852544071,0.00889852745771891,1
17,0.0382868875333624,0.0499612899517435,0.0534068797919249,0.0497506970719486,-0.0151199922585639,0.00458242670398477,1
23,-0.11017375786355,0.058688340755366,-0.106813759583867,0.0579916916795317,-0.00335999827968099,0.00901582146917856,1
30,-0.191384528334243,0.0647303722336824,-0.177560535412127,0.0642915083311405,-0.0138239929221156,0.00752482863711766,1
38,0.126142029879887,0.0502094632808667,0.128662028589649,0.050104799028676,-0.00251999870976062,0.00324026499667796,1
44,0.0962802448489499,0.0596958941599779,0.0922482469133333,0.0594634564747219,0.004031997935617,0.00526280568120638,1
9,0.0610588853659501,0.0476816275979179,0.0374428974573358,0.0402402287313402,0.0236159879086143,0.0255785379182616,0
17,-0.0572047363260526,0.032738658743415,-0.00982876058255133,0.0297580504580983,-0.0473759757435008,0.0136483775318191,0
23,-0.113911087416363,0.0442433067199461,-0.0917350987704699,0.038580116923322,-0.0221759886458938,0.021657441393157,0
30,-0.294210953278037,0.0707715123359459,-0.245250978345544,0.0690920385489653,-0.0489599749324927,0.0153263553222948,0
38,-0.194180319659838,0.0616626243456074,-0.185108324304699,0.0612492946343869,-0.00907199535513838,0.00712763270501246,0
44,-0.19170304400892,0.047141867687074,-0.194391042632665,0.0466410870490541,0.00268799862374467,0.0068530787174924,0
9,-0.05976236616144,0.0487265959524377,-0.07531435819882,0.0251003170344505,0.01555199203738,0.0417642818432472,-1
17,-0.0853870631480575,0.028233295676498,-0.0596830763084988,0.0142855487830117,-0.0257039868395587,0.0243524553325687,-1
23,-0.183922391404968,0.0362635029803171,-0.116050426155415,0.0226102399702883,-0.0678719652495533,0.0283516965434071,-1
30,-0.13118632959237,0.0217703076488178,-0.0753143581988199,0.0151724018111381,-0.0558719713935507,0.0156123194434891,-1
38,-0.0119631783525584,0.0198106439490512,-0.00994717938474988,0.0187748893631999,-0.00201599896780851,0.00632179903790711,-1
44,0.0484361694299743,0.0264711180787915,0.0464201704621658,0.0250331858175998,0.0020159989678085,0.00860579456894294,-1
