dAE,dmb/dt,SD,N_setting
23,0.227222222222222,0.0638083751413199,1
28,1.97733333333333,0.608976856802631,1
33,1.721,1.68484970645258,1
38,3.10466666666667,2.24825395955765,1
43,1.04566666666667,3.48209509730373,1
46,-4.94349206349206,5.91435762266082,1
23,0.565777777777778,0.209454542021479,0
28,3.399,1.05804202815074,0
33,5.774,2.05692424102915,0
38,9.32866666666667,2.6885485055447,0
43,-1.40933333333333,5.06630597838965,0
46,-10.0995777777778,12.5872088027666,0
23,1.03162962962963,0.177714042808018,-1
28,4.82266666666667,0.961664667819991,-1
33,3.162,2.05732927197698,-1
38,2.20033333333333,2.17455482034063,-1
43,-0.446666666666665,2.64801334337021,-1
46,-1.3341452991453,5.01762811753979,-1
