mass_B,N_setting,date,day
0.21,-1,2021-07-12,14
0.49,-1,2021-07-12,14
0.32,-1,2021-07-12,14
0.36,-1,2021-07-12,14
0.26,-1,2021-07-12,14
0.38,-1,2021-07-12,14
0.46,-1,2021-07-12,14
0.54,-1,2021-07-12,14
0.37,-1,2021-07-12,14
0.64,-1,2021-07-12,14
0.39,-1,2021-07-12,14
0.48,-1,2021-07-12,14
0.44,-1,2021-07-12,14
0.42,-1,2021-07-12,14
0.47,-1,2021-07-12,14
0.4,0,2021-07-12,14
0.44,0,2021-07-12,14
0.33,0,2021-07-12,14
0.51,0,2021-07-12,14
0.66,0,2021-07-12,14
0.27,0,2021-07-12,14
0.56,0,2021-07-12,14
0.27,0,2021-07-12,14
0.64,0,2021-07-12,14
0.38,0,2021-07-12,14
0.35,0,2021-07-12,14
0.33,0,2021-07-12,14
0.34,0,2021-07-12,14
0.41,0,2021-07-12,14
0.48,0,2021-07-12,14
0.27,1,2021-07-12,14
0.53,1,2021-07-12,14
0.47,1,2021-07-12,14
0.42,1,2021-07-12,14
0.49,1,2021-07-12,14
0.47,1,2021-07-12,14
0.45,1,2021-07-12,14
0.4,1,2021-07-12,14
0.33,1,2021-07-12,14
0.41,1,2021-07-12,14
0.26,1,2021-07-12,14
0.29,1,2021-07-12,14
0.36,1,2021-07-12,14
0.32,1,2021-07-12,14
0.23,1,2021-07-12,14
1.87,1,2021-07-21,23
2.49,1,2021-07-21,23
3.15,1,2021-07-21,23
2.15,1,2021-07-21,23
2.61,1,2021-07-21,23
2.93,1,2021-07-21,23
1.5,1,2021-07-21,23
2.26,1,2021-07-21,23
2.4,1,2021-07-21,23
3.24,1,2021-07-21,23
2.85,1,2021-07-21,23
1.65,1,2021-07-21,23
3.12,0,2021-07-21,23
5.82,0,2021-07-21,23
8.57,0,2021-07-21,23
6.25,0,2021-07-21,23
4.14,0,2021-07-21,23
5.2,0,2021-07-21,23
7.72,-1,2021-07-21,23
9.55,-1,2021-07-21,23
11.61,-1,2021-07-21,23
9.92,-1,2021-07-21,23
10.13,1,2021-07-26,28
16.78,1,2021-07-26,28
11.6,1,2021-07-26,28
12.16,1,2021-07-26,28
8.56,1,2021-07-26,28
14.64,1,2021-07-26,28
22.15,0,2021-07-26,28
25.62,0,2021-07-26,28
16.6,0,2021-07-26,28
19.24,0,2021-07-26,28
20.93,0,2021-07-26,28
30.53,0,2021-07-26,28
29,-1,2021-07-26,28
29.36,-1,2021-07-26,28
40.6,-1,2021-07-26,28
36.93,-1,2021-07-26,28
32.1,-1,2021-07-26,28
34.89,-1,2021-07-26,28
26.6,1,2021-07-31,33
16.82,1,2021-07-31,33
26.24,1,2021-07-31,33
12.33,1,2021-07-31,33
30.63,1,2021-07-31,33
12.88,1,2021-07-31,33
38.38,0,2021-07-31,33
64.08,0,2021-07-31,33
58.94,0,2021-07-31,33
49.26,0,2021-07-31,33
49.69,0,2021-07-31,33
47.94,0,2021-07-31,33
39.31,-1,2021-07-31,33
51.89,-1,2021-07-31,33
43.53,-1,2021-07-31,33
46.83,-1,2021-07-31,33
66.04,-1,2021-07-31,33
50.14,-1,2021-07-31,33
28.31,1,2021-08-05,38
49,1,2021-08-05,38
42.1,1,2021-08-05,38
33.08,1,2021-08-05,38
37.07,1,2021-08-05,38
29.08,1,2021-08-05,38
109.13,0,2021-08-05,38
86.18,0,2021-08-05,38
108.07,0,2021-08-05,38
95.45,0,2021-08-05,38
87.48,0,2021-08-05,38
101.84,0,2021-08-05,38
62.54,-1,2021-08-05,38
61.06,-1,2021-08-05,38
57.76,-1,2021-08-05,38
70.71,-1,2021-08-05,38
54.21,-1,2021-08-05,38
57.47,-1,2021-08-05,38
45.86,1,2021-08-10,43
58.75,1,2021-08-10,43
23.87,1,2021-08-10,43
41.54,1,2021-08-10,43
56.76,1,2021-08-10,43
23.23,1,2021-08-10,43
100,0,2021-08-10,43
111.25,0,2021-08-10,43
101.96,0,2021-08-10,43
75.73,0,2021-08-10,43
50.6,0,2021-08-10,43
106.33,0,2021-08-10,43
61.26,-1,2021-08-10,43
59.5,-1,2021-08-10,43
78.39,-1,2021-08-10,43
43.58,-1,2021-08-10,43
49.29,-1,2021-08-10,43
58.33,-1,2021-08-10,43
32.39,1,2021-08-13,46
31.33,1,2021-08-13,46
26.66,1,2021-08-13,46
40.17,1,2021-08-13,46
33.28,1,2021-08-13,46
24.66,1,2021-08-13,46
22.33,1,2021-08-13,46
18.91,1,2021-08-13,46
21.45,1,2021-08-13,46
35.32,1,2021-08-13,46
38.68,1,2021-08-13,46
24.3,1,2021-08-13,46
14.94,1,2021-08-13,46
11.31,1,2021-08-13,46
53.7,0,2021-08-13,46
82.85,0,2021-08-13,46
77.73,0,2021-08-13,46
93.58,0,2021-08-13,46
19.36,0,2021-08-13,46
37.32,0,2021-08-13,46
53.01,0,2021-08-13,46
62.09,0,2021-08-13,46
30.69,0,2021-08-13,46
46.39,0,2021-08-13,46
41.42,0,2021-08-13,46
62,0,2021-08-13,46
105.53,0,2021-08-13,46
58.15,0,2021-08-13,46
117.18,0,2021-08-13,46
62.58,0,2021-08-13,46
28.35,0,2021-08-13,46
89,0,2021-08-13,46
104.91,0,2021-08-13,46
87.94,0,2021-08-13,46
92.64,0,2021-08-13,46
29.29,0,2021-08-13,46
26.74,0,2021-08-13,46
40.54,0,2021-08-13,46
14,0,2021-08-13,46
54.49,-1,2021-08-13,46
70.7,-1,2021-08-13,46
62.32,-1,2021-08-13,46
63.79,-1,2021-08-13,46
57.56,-1,2021-08-13,46
45.56,-1,2021-08-13,46
35.01,-1,2021-08-13,46
54.08,-1,2021-08-13,46
52.1,-1,2021-08-13,46
41.01,-1,2021-08-13,46
61.75,-1,2021-08-13,46
44.94,-1,2021-08-13,46
58.61,-1,2021-08-13,46
65.59,-1,2021-08-13,46
43.96,-1,2021-08-13,46
65.78,-1,2021-08-13,46
61.5,-1,2021-08-13,46
53.63,-1,2021-08-13,46
61.19,-1,2021-08-13,46
48.08,-1,2021-08-13,46
64.62,-1,2021-08-13,46
47.34,-1,2021-08-13,46
51.69,-1,2021-08-13,46
64.31,-1,2021-08-13,46
47.55,-1,2021-08-13,46
36.96,-1,2021-08-13,46
