mass_B,std_B,N_setting,date,dAE,pct_N,SD_pct_N,mass_N,SD_mass_N
9.7,1.6,-1,2021-07-21,23,0.45955,0,0.04457635,0.00733333911070644
33.81,4.54,-1,2021-07-26,28,0.29644,0.0196151421101148,0.100236245333333,0.0149927860027809
49.62,9.23,-1,2021-07-31,33,0.19295,0.00767455536171314,0.0957482216666667,0.0182169035436656
60.63,5.74,-1,2021-08-05,38,0.185126666666667,0.00312213602095317,0.112233041666667,0.0107979796785942
58.39,11.93,-1,2021-08-10,43,0.14603,0.0130673333163274,0.0852693508333333,0.0190190018661686
54.39,9.18,-1,2021-08-13,46,0.14466,0.0144109645756278,0.0786794612307692,0.0154198885887161
5.52,1.88,0,2021-07-21,23,0.53858,0,0.0297116633333333,0.0101310701297915
22.51,4.94,0,2021-07-26,28,0.51084,0.030646007896625,0.114998598,0.0261836095462933
51.38,9.02,0,2021-07-31,33,0.382793333333333,0.0236459919084257,0.196685594555556,0.036596234779352
98.03,9.97,0,2021-08-05,38,0.361206666666667,0.0171377050194398,0.354072835,0.0397347589263166
90.98,23.29,0,2021-08-10,43,0.28676,0.0213725595098014,0.260889468666667,0.0695523246391257
60.68,29.73,0,2021-08-13,46,0.346586666666667,0.0237638745437972,0.210307402986667,0.104030618021956
2.43,0.57,1,2021-07-21,23,0.55958,0,0.013569815,0.00317071891949943
12.31,2.99,1,2021-07-26,28,0.524005,0.0271599714653753,0.0645137489166667,0.0160293030983461
20.92,7.88,1,2021-07-31,33,0.475593333333333,0.0220780124407369,0.0994782722222222,0.0377372256541478
36.44,8.02,1,2021-08-05,38,0.408266666666667,0.0203329912539531,0.148772373333333,0.0335778036852328
41.67,15.45,1,2021-08-10,43,0.34379,0.0223524584777603,0.143251563166667,0.0539340535038872
26.84,8.72,1,2021-08-13,46,0.380446666666667,0.0232785767033411,0.102103732904762,0.0337585155115597
