dAE,pctN,std_pctN,N_setting,date
23,0.45955,0,-1,2021-07-21
28,0.29644,0.0196151421101148,-1,2021-07-26
33,0.19295,0.00767455536171314,-1,2021-07-31
38,0.185126666666667,0.00312213602095317,-1,2021-08-05
43,0.14603,0.0130673333163274,-1,2021-08-10
46,0.14466,0.0144109645756278,-1,2021-08-13
23,0.53858,0,0,2021-07-21
28,0.51084,0.030646007896625,0,2021-07-26
33,0.382793333333333,0.0236459919084257,0,2021-07-31
38,0.185126666666667,0.0171377050194398,0,2021-08-05
43,0.28676,0.0213725595098014,0,2021-08-10
46,0.346586666666667,0.0237638745437972,0,2021-08-13
23,0.55958,0,1,2021-07-21
28,0.524005,0.0271599714653753,1,2021-07-26
33,0.475593333333333,0.0220780124407369,1,2021-07-31
38,0.408266666666667,0.0203329912539531,1,2021-08-05
43,0.34379,0.0223524584777603,1,2021-08-10
46,0.380446666666667,0.0232785767033411,1,2021-08-13
