dAS,HR,cCO2,T
0,50.8,534,24.1666666666667
1,50.6,554,23.5555555555555
2,50.6,554,24.1666666666667
3,45,539,20.6111111111111
4,44.8,505,21.0555555555555
8,50.3,504,20.8888888888889
9,48.8,494,21.3888888888889
10,47.8,504,21.2222222222222
11,48,556,21.1111111111111
14,48.6,470,20.8888888888889
15,46.1,549,21.4444444444445
16,49.5,450,20.5555555555555
17,49.7,525,20.7222222222222
18,48.8,588,21.4444444444445
21,45.4,503,21.3888888888889
22,49.5,568,20.8333333333333
23,46.6,559,21.2222222222222
24,45.7,494,21.0555555555555
25,45.6,514,20.2777777777778
28,54.2,443,21
29,52.7,577,20.5
30,48.2,540,21.2222222222222
31,49.5,543,21.2222222222222
32,50.8,456,20.6666666666667
35,47.8,606,20.8888888888889
36,48.4,545,21.1666666666667
37,48.6,577,21.5555555555555
38,50.8,446,20.7222222222222
39,49.6,502,21.0555555555555
42,48.9,475,21.1666666666667
43,49.6,550,21.1666666666667
44,48.9,451,21.0555555555555
45,50,664,21.2777777777778
46,50.1,509,20.7222222222222
